import time: self [us] | cumulative | imported package
import time:     16045 |      16045 |                         botocore.retries.throttling
import time:     41739 |     149107 |                       botocore.retries.adaptive
import time:     15217 |     814046 |                     botocore.client
import time:      9376 |       9376 |                       botocore.retryhandler
import time:      7429 |       7429 |                       botocore.translate
import time:     12734 |      29539 |                     botocore.handlers
import time:      8418 |       8418 |                     botocore.monitoring
import time:      7227 |       7227 |                     botocore.errorfactory
import time:      8205 |       8205 |                     botocore.loaders
import time:     14162 |     881596 |                   botocore.session
import time:     16124 |      16124 |                   boto3.utils
import time:     27940 |      27940 |                     boto3.resources
import time:     20500 |      20500 |                         boto3.docs.client
import time:     17687 |      17687 |                             boto3.docs.base
import time:     21753 |      21753 |                             boto3.docs.method
import time:     18929 |      18929 |                             boto3.docs.utils
import time:     16508 |      74875 |                           boto3.docs.action
import time:     19464 |      19464 |                           boto3.docs.attr
import time:     16479 |      16479 |                           boto3.docs.collection
import time:     20137 |      20137 |                           boto3.docs.subresource
import time:     23890 |      23890 |                           boto3.docs.waiter
import time:     19615 |     174457 |                         boto3.docs.resource
import time:     33698 |     228654 |                       boto3.docs.service
import time:     21845 |     250498 |                     boto3.docs
import time:     22984 |      22984 |                     boto3.docs.docstring
import time:     16577 |      16577 |                       boto3.resources.model
import time:     26790 |      26790 |                       boto3.resources.params
import time:     19490 |      19490 |                       boto3.resources.response
import time:     21893 |      84749 |                     boto3.resources.action
import time:     22476 |      22476 |                     boto3.resources.base
import time:     17681 |      17681 |                     boto3.resources.collection
import time:     30502 |     456827 |                   boto3.resources.factory
import time:     18611 |    1373155 |                 boto3.session
import time:     20310 |    3062645 |               boto3
import time:     23167 |    3085811 |             boto3.dynamodb
import time:     36103 |    3121914 |           boto3.dynamodb.conditions
import time:     23546 |      23546 |                 pydantic_settings.exceptions
import time:      1280 |       1280 |                     gettext
import time:      3138 |       4417 |                   argparse
import time:     15358 |      15358 |                     pydantic._internal._dataclasses
import time:     16101 |      31458 |                   pydantic.dataclasses
import time:     17507 |      17507 |                       pydantic_settings.utils
import time:     20367 |      20367 |                       pydantic_settings.sources.types
import time:     29019 |      29019 |                       pydantic_settings.sources.utils
import time:     35339 |     102230 |                     pydantic_settings.sources.base
import time:     20015 |      20015 |                           pydantic_settings.sources.providers.env
import time:     42196 |      62210 |                         pydantic_settings.sources.providers.aws
import time:     16401 |      16401 |                           pydantic.alias_generators
import time:     26871 |      43271 |                         pydantic_settings.sources.providers.azure
import time:     30021 |      30021 |                         pydantic_settings.sources.providers.cli
import time:     17647 |      17647 |                               dotenv.parser
import time:     15534 |      15534 |                               dotenv.variables
import time:     25400 |      58580 |                             dotenv.main
import time:     18964 |      77543 |                           dotenv
import time:     20839 |      98382 |                         pydantic_settings.sources.providers.dotenv
import time:     19389 |      19389 |                         pydantic_settings.sources.providers.gcp
import time:     26407 |      26407 |                         pydantic_settings.sources.providers.json
import time:     24134 |      24134 |                           pydantic_settings.sources.providers.toml
import time:     29186 |      53320 |                         pydantic_settings.sources.providers.pyproject
import time:     19165 |      19165 |                         pydantic_settings.sources.providers.secrets
import time:     31772 |      31772 |                         pydantic_settings.sources.providers.yaml
import time:     41972 |     425904 |                       pydantic_settings.sources.providers
import time:       310 |     426213 |                     pydantic_settings.sources.providers.aws
import time:     26554 |      26554 |                     pydantic_settings.sources.providers.nested_secrets
import time:     23031 |     578027 |                   pydantic_settings.sources
import time:     17878 |     631779 |                 pydantic_settings.main
import time:     13928 |      13928 |                 pydantic_settings.version
import time:     18695 |     687946 |               pydantic_settings
import time:     17869 |     705815 |             src.config.aws
import time:     29430 |     735245 |           src.infrastructure.repositories.base
import time:     38073 |    3895231 |         src.infrastructure.repositories.jobs_repository
import time:     22988 |      22988 |         src.infrastructure.repositories.documents_repository
import time:     26195 |      26195 |         src.infrastructure.repositories.scoring_repository
import time:     29817 |    3974230 |       src.infrastructure.repositories
import time:       561 |    3974790 |     src.infrastructure.repositories.jobs_repository
import time:     31767 |      31767 |         src.infrastructure.storage.storage_service
import time:     39167 |      70934 |       src.infrastructure.storage
import time:       336 |      71270 |     src.infrastructure.storage.storage_service
import time:     20366 |      20366 |     boto3.dynamodb.types
import time:     12372 |      12372 |       s3transfer.subscribers
import time:     15923 |      15923 |       boto3.s3.constants
import time:     19135 |      47428 |     boto3.s3.transfer
import time:     14650 |      14650 |             pydantic.v1.typing
import time:     15259 |      29908 |           pydantic.v1.errors
import time:      1149 |       1149 |               cython
import time:     18961 |      20110 |             pydantic.v1.version
import time:     19785 |      39894 |           pydantic.v1.utils
import time:     14331 |      84132 |         pydantic.v1.class_validators
import time:     14807 |      14807 |         pydantic.v1.config
import time:     18381 |      18381 |             pydantic.v1.color
import time:     17457 |      17457 |                 pydantic.v1.datetime_parse
import time:     19529 |      36986 |               pydantic.v1.validators
import time:     20637 |      57622 |             pydantic.v1.networks
import time:     14847 |      14847 |             pydantic.v1.types
import time:     14459 |     105308 |           pydantic.v1.json
import time:     15310 |     120618 |         pydantic.v1.error_wrappers
import time:     14982 |      14982 |         pydantic.v1.fields
import time:     22069 |      22069 |           pydantic.v1.parse
import time:     19347 |      19347 |           pydantic.v1.schema
import time:     21526 |      62941 |         pydantic.v1.main
import time:     27880 |     325358 |       pydantic.v1.dataclasses
import time:     13318 |      13318 |       pydantic.v1.annotated_types
import time:     14530 |      14530 |       pydantic.v1.decorator
import time:     18150 |      18150 |       pydantic.v1.env_settings
import time:     30721 |      30721 |       pydantic.v1.tools
import time:     29584 |     431658 |     pydantic.v1
import time:  30134779 |   36513614 |   src.api.routes.jobs
import time:  17199951 |   17199951 |   src.api.routes.jobs_v2
import time:     18378 |      18378 |   src.infrastructure.health
import time:     30133 |   57432063 | src.api.app
